timestamp,Supply Temperature.2,HWS_Setpoint,HWS_Setpoint.2,HWS_Temperature,HWS_Temperature.1,HWS_Temperature.2,Supply Temperature,Supply Temperature.1
2018-11-16T05:00:00Z,158.5,32.0,149.899993896484,154.220001220703,137.660003662109,156.559997558594,154.589996337891,158.5
2018-11-16T05:15:00Z,158.5,32.0,149.899993896484,154.580001831055,138.919998168945,155.479995727539,153.440002441406,160.570007324219
2018-11-16T05:30:00Z,161.490005493164,32.0,149.899993896484,155.660003662109,138.020004272461,154.940002441406,162.410003662109,158.5
2018-11-16T05:45:00Z,155.509994506836,32.0,149.899993896484,153.5,139.460006713867,153.679992675781,161.490005493164,154.589996337891
2018-11-16T06:00:00Z,157.580001831055,32.0,149.899993896484,154.940002441406,138.740005493164,153.679992675781,158.5,158.5
2018-11-16T06:15:00Z,162.410003662109,32.0,149.899993896484,154.399993896484,138.919998168945,153.5,156.429992675781,155.509994506836
2018-11-16T06:30:00Z,159.419998168945,32.0,149.899993896484,154.940002441406,138.740005493164,156.020004272461,153.440002441406,152.520004272461
2018-11-16T06:45:00Z,158.5,32.0,149.899993896484,156.020004272461,138.559997558594,156.380004882812,152.520004272461,152.520004272461
2018-11-16T07:00:00Z,158.5,32.0,149.899993896484,155.300003051758,140.0,154.580001831055,151.600006103516,151.600006103516
2018-11-16T07:15:00Z,155.509994506836,32.0,149.899993896484,154.220001220703,140.539993286133,151.520004272461,160.570007324219,160.570007324219
2018-11-16T07:30:00Z,153.440002441406,32.0,149.899993896484,155.300003051758,139.279998779297,155.300003051758,153.440002441406,159.419998168945
2018-11-16T07:45:00Z,160.570007324219,32.0,149.899993896484,157.100006103516,140.179992675781,159.080001831055,159.419998168945,155.509994506836
2018-11-16T08:00:00Z,153.440002441406,32.0,149.899993896484,154.940002441406,139.639999389648,154.580001831055,154.589996337891,153.440002441406
2018-11-16T08:15:00Z,158.5,32.0,149.899993896484,156.020004272461,139.100006103516,156.559997558594,155.509994506836,158.5
2018-11-16T08:30:00Z,156.429992675781,32.0,149.899993896484,156.559997558594,141.080001831055,153.5,152.520004272461,152.520004272461
2018-11-16T08:45:00Z,153.440002441406,32.0,149.899993896484,155.839996337891,140.0,155.119995117188,149.529998779297,149.529998779297
2018-11-16T09:00:00Z,154.589996337891,32.0,149.899993896484,155.300003051758,139.639999389648,154.759994506836,160.570007324219,159.419998168945
2018-11-16T09:15:00Z,152.520004272461,32.0,149.899993896484,154.580001831055,141.619995117188,151.339996337891,151.600006103516,158.5
2018-11-16T09:30:00Z,154.589996337891,32.0,149.899993896484,155.479995727539,140.899993896484,154.220001220703,149.529998779297,156.429992675781
2018-11-16T09:45:00Z,154.589996337891,32.0,149.899993896484,155.300003051758,139.279998779297,158.0,158.5,154.589996337891
2018-11-16T10:00:00Z,148.610000610352,32.0,149.899993896484,155.839996337891,140.0,157.460006713867,149.529998779297,157.580001831055
2018-11-16T10:15:00Z,156.429992675781,32.0,149.899993896484,155.119995117188,140.0,153.139999389648,158.5,152.520004272461
2018-11-16T10:30:00Z,155.509994506836,32.0,149.899993896484,153.860000610352,139.100006103516,154.580001831055,156.429992675781,151.600006103516
2018-11-16T10:45:00Z,158.5,32.0,149.899993896484,155.119995117188,138.919998168945,154.220001220703,160.570007324219,159.419998168945
2018-11-16T11:00:00Z,155.509994506836,32.0,149.899993896484,156.020004272461,137.660003662109,158.360000610352,160.570007324219,160.570007324219
2018-11-16T11:15:00Z,160.570007324219,32.0,149.899993896484,156.559997558594,138.740005493164,156.740005493164,162.410003662109,161.490005493164
2018-11-16T11:30:00Z,163.559997558594,32.0,149.899993896484,153.320007324219,138.559997558594,153.5,164.479995727539,163.559997558594
2018-11-16T11:45:00Z,163.559997558594,32.0,149.899993896484,153.860000610352,135.679992675781,157.460006713867,164.479995727539,156.429992675781
2018-11-16T12:00:00Z,165.399993896484,32.0,149.899993896484,153.139999389648,136.580001831055,157.460006713867,166.550003051758,165.399993896484
