,id,tag_name,name_long,name_abbr,active,flow_order,critical_point_types,sub_types,tags
12,31,meter,Meter,METER,True,5,"[116, 115, 176, 178, 179]","[{'id': 16, 'equipment_type_id': 31, 'tag_name': 'elecMeter', 'name_long': 'Electrical Meter', 'name_abbr': 'METER'}, {'id': 17, 'equipment_type_id': 31, 'tag_name': 'gasMeter', 'name_long': 'Gas Meter', 'name_abbr': 'METER'}, {'id': 18, 'equipment_type_id': 31, 'tag_name': 'steamMeter', 'name_long': 'Steam Meter', 'name_abbr': 'METER'}, {'id': 19, 'equipment_type_id': 31, 'tag_name': 'waterMeter', 'name_long': 'Water Meter', 'name_abbr': 'METER'}, {'id': 44, 'equipment_type_id': 31, 'tag_name': 'thermalMeter', 'name_long': 'Thermal Meter', 'name_abbr': 'METER'}]",['meter']
13,32,pump,Pump,PUMP,True,1,"[166, 121, 158]","[{'id': 20, 'equipment_type_id': 32, 'tag_name': 'chilledWaterPump', 'name_long': 'Chilled Water Pump', 'name_abbr': 'CHWP'}, {'id': 21, 'equipment_type_id': 32, 'tag_name': 'circPump', 'name_long': 'Circulation Pump', 'name_abbr': 'CIRCPUMP'}, {'id': 22, 'equipment_type_id': 32, 'tag_name': 'domesticWaterPump', 'name_long': 'Domestic Water Pump', 'name_abbr': 'DWPUMP'}, {'id': 23, 'equipment_type_id': 32, 'tag_name': 'dualTempWaterPump', 'name_long': 'Dual Temp Water Pump', 'name_abbr': 'DTWPUMP'}, {'id': 25, 'equipment_type_id': 32, 'tag_name': 'hotWaterPump', 'name_long': 'Hot Water Pump', 'name_abbr': 'HWP'}, {'id': 26, 'equipment_type_id': 32, 'tag_name': 'condenserWaterPump', 'name_long': 'Condenser Water Pump', 'name_abbr': 'CWP'}, {'id': 24, 'equipment_type_id': 32, 'tag_name': 'glycolPump', 'name_long': 'Glycol Pump', 'name_abbr': 'GLYCPUMP'}, {'id': 33, 'equipment_type_id': 32, 'tag_name': 'sprayPump', 'name_long': 'Spray Pump', 'name_abbr': 'SPRAYPUMP'}, {'id': 42, 'equipment_type_id': 32, 'tag_name': 'sweeperPump', 'name_long': 'Sweeper Pump', 'name_abbr': 'SWPRPUMP'}]","['hvac', 'pump']"
14,33,tank,Tank,TANK,True,1,"[87, 91]",[],['tank']
15,34,unitVent,Unit Ventilator,UV,True,3,"[79, 148, 150, 166, 121]",[],"['hvac', 'unitVent']"
16,7,vav,Variable Air Volume,VAV,True,3,"[112, 79, 77, 122, 159]","[{'id': 32, 'equipment_type_id': 7, 'tag_name': 'exhaustVAV', 'name_long': 'Exhaust Air VAV', 'name_abbr': 'EXHVAV'}]","['hvac', 'vav']"
17,36,vrf,Variable Refrigerant Flow,VRF,True,3,"[77, 122, 121]",[],"['hvac', 'vrf']"
18,39,ductHeater,Duct Heater,DUCT,True,5,[],"[{'id': 36, 'equipment_type_id': 39, 'tag_name': 'hydronicDuctHeater', 'name_long': 'Hydronic Duct Heater', 'name_abbr': 'HYDRNCDUCT'}, {'id': 37, 'equipment_type_id': 39, 'tag_name': 'furnaceDuctHeater', 'name_long': 'Furnace Duct Heater', 'name_abbr': 'FRNCDUCT'}]","['hvac', 'ductHeater']"
19,57,waterLoop,Water Loop,WLOOP,True,1,[],"[{'id': 45, 'equipment_type_id': 57, 'tag_name': 'domesticWaterLoop', 'name_long': 'Domestic Water Loop', 'name_abbr': 'DWLOOP'}, {'id': 46, 'equipment_type_id': 57, 'tag_name': 'hotWaterLoop', 'name_long': 'Hot Water Loop', 'name_abbr': 'HWLOOP'}, {'id': 47, 'equipment_type_id': 57, 'tag_name': 'chilledWaterLoop', 'name_long': 'Chilled Water Loop', 'name_abbr': 'CHWLOOP'}]",[]
20,47,crac,Computer Room Air Conditioner,CRAC,True,2,[],[],"['crac', 'hvac']"
21,46,virtual,Virtual,VIRT,True,5,[],[],[]
22,40,radiantEquip,Radiant System,RADIANT,True,3,[],"[{'id': 29, 'equipment_type_id': 40, 'tag_name': 'chilledBeam', 'name_long': 'Chilled Beam', 'name_abbr': 'CHBEAM'}, {'id': 30, 'equipment_type_id': 40, 'tag_name': 'radiantFloor', 'name_long': 'Radiant Floor', 'name_abbr': 'RDNTFL'}, {'id': 31, 'equipment_type_id': 40, 'tag_name': 'radiator', 'name_long': 'Radiator', 'name_abbr': 'RDTR'}]","['hvac', 'radiantEquip']"
23,52,shade,Shade,SHADE,True,5,[],[],[]
24,37,site,Site Sensors,SITE,True,5,[],"[{'id': 35, 'equipment_type_id': 37, 'tag_name': 'weatherStation', 'name_long': 'Weather Station', 'name_abbr': 'WTHR'}]",['site']
25,24,panel,Electrical Panel,ELEC,True,1,[],"[{'id': 10, 'equipment_type_id': 24, 'tag_name': 'sitePanel', 'name_long': 'Site Panel', 'name_abbr': 'elecPanel'}, {'id': 11, 'equipment_type_id': 24, 'tag_name': 'subPanelOf', 'name_long': 'Sub Panel', 'name_abbr': 'elecPanel'}]",['panel']
26,55,leakDetector,Leak Detector,LEAK,True,5,[],[],[]
27,38,untagged,Untagged,NONE,True,10,[],[],[]
28,48,cogen,Cogeneration Plant,COGEN,True,1,[],[],[]
29,50,dryCooler,Dry Cooler,COOLER,True,5,[],[],[]
30,51,humidifier,Humidifier,HUM,True,5,[],[],[]
31,42,lighting,Lighting System,LIGHT,True,5,[],"[{'id': 34, 'equipment_type_id': 42, 'tag_name': 'uvLighting', 'name_long': 'UV Lighting', 'name_abbr': 'UV'}, {'id': 38, 'equipment_type_id': 42, 'tag_name': 'dimmerControlledLighting', 'name_long': 'Dimmer Controlled Lighting', 'name_abbr': 'DMRLIGHT'}, {'id': 39, 'equipment_type_id': 42, 'tag_name': 'sceneControlledLighting', 'name_long': 'Scene Controlled Lighting', 'name_abbr': 'SCNLIGHT'}, {'id': 40, 'equipment_type_id': 42, 'tag_name': 'photocellControlledLighting', 'name_long': 'Photocell Controlled Lighting', 'name_abbr': 'PHCLIGHT'}]",['lighting']
32,41,elevator,Elevator,ELEV,True,4,[],[],['elevator']
33,54,fireSafetyEquipment,Fire Safety Equipment,FIRESFTY,True,5,[],"[{'id': 41, 'equipment_type_id': 54, 'tag_name': 'fireControlPanel', 'name_long': 'Fire Control Panel', 'name_abbr': 'FIREPNL'}]",[]
34,53,securityEquipment,Security Equipment,SECURITY,True,5,[],[],[]
35,44,cav,Constant Air Volume,CAV,True,-1,[],[],"['hvac', 'cav']"
36,49,airDryer,Air Dryer,DRYER,True,5,[],[],[]
37,45,battery,Battery,BATT,True,5,[],[],['battery']
38,43,fumeHood,Fume Hood,FUME,True,-1,[],[],"['hvac', 'fumeHood']"
